ward_code,ward_name,Borough,Zone,mode_share,PTAL_bus2015,PTAL_LUL2015,PTAL_rail2015,PTAL_tram2015,PTAL_AI2015,speed_weekday_allday,speed_weekday_AM,speed_weekday_IN,change_weekday_allday,change_weekday_AM,change_weekday_IN,weekday_boardings_allday,weekend_boardings_ratio,alightings_boardings_ratio,2013_population,pop_0to15_perc,pop_16to64_perc,pop_65plus_perc,area_km,2013_pop_density,2014_med_house_price,2014_mean_income,2011_cars_own_density,2011_cars_per_household,2011_ethnic_white,2011_ethnic_mixed,2011_ethnic_asian,2011_ethnic_black
E05000104,Wembley Central,Brent,Outer,0.231769779,9.932051374,2.398058003,2.825645925,0,15.1557553,14.44706856,15.01712779,13.28368956,-0.286784614,-0.484113277,-0.45688143,206366.4332,86.26907415,96.90916795,15431,18.32797428,71.70418006,10.28938907,1.60424,9618.884955,250000,31538.824,2151.797736,0.788127854,13.3173482,2.870844404,63.1067332,13.19421943
E05000103,Welsh Harp,Brent,Outer,0.170028652,5.295343064,0.37556425,0,0,5.670907314,34.88278362,33.71115354,37.48002237,13.10935741,14.00107607,15.81252443,38876.64216,86.45019495,67.88788126,13886,21.14695341,67.02508961,11.82795699,2.31897,5988.003295,292475,32614.00712,1937.929339,0.934497817,38.32637189,4.486533199,31.25450094,17.98934178
E05009335,Weavers,Tower Hamlets,Inner,0.190515293,13.2711506,1.9617784,9.093832025,0,24.32676102,15.83585063,15.14523328,14.51784892,0.231986441,-0.152297266,0.122705247,14180.84705,95.09922535,126.0957802,13700,17.84583729,74.58056347,7.57359924,0.67536,20285.47738,500000,40808.6985,2638.493191,0.332675399,48.28795187,4.188276517,31.68918765,6.4051867
E05000304,Wealdstone,Harrow,Outer,0.206559173,7.003189784,0.565383784,1.571355387,0,9.139928955,21.79700467,19.17229465,20.66000611,0.085497954,-0.137355713,0.054174197,25979.61197,67.02585683,54.55296078,11606,23.17596567,65.66523605,10.72961373,1.19595,9704.419081,310000,31216.24308,3164.848029,0.97501288,36.76546614,4.204721696,38.08374978,14.54420128
E05000647,Warwick,Westminster,Inner,0.082879459,23.94347844,13.38105796,27.92624087,0,65.25077727,11.78423025,11.16838664,10.48465243,0.228890022,0.312699129,-0.463090874,184001.2871,74.13939211,57.96727147,9631,10.9947644,76.96335079,12.04188482,0.57354,16792.20281,857250,75168.48838,4194.999477,0.47880597,73.9487073,3.800228429,9.666701277,5.118886928
E05000515,Wanstead,Redbridge,Outer,0.047873553,3.149255797,1.302728203,0.284297696,0,4.736281696,21.36031849,20.63327923,20.59919043,-0.435978707,-0.733066955,-0.949278634,11264.31891,61.71498884,78.04712623,11683,19.83122363,64.55696203,15.61181435,5.19133,2250.483017,460000,62031.69213,1016.695144,1.146145494,69.12608063,5.418128905,16.46837285,6.325430112
E05000627,Wandsworth Common,Wandsworth,Inner,0.100523636,4.478697174,0.209004998,3.201981232,0,7.889683403,18.90393448,17.31894291,18.73764494,-0.641881881,-0.460429671,-0.55445463,8013.521022,65.07925088,107.7499823,15792,19.42675159,72.61146497,8.280254777,2.76497,5711.454374,568000,77541.33184,1944.686561,0.961896243,79.40096251,3.91337386,5.597771023,6.743920973
E05000571,Wandle Valley,Sutton,Outer,0.146285623,3.875795988,0,1.307540078,0.121194532,5.304530598,20.52704931,17.8729502,20.38589916,-1.316170776,-0.729003502,-1.561244991,3548.140289,71.95683298,75.8055886,12027,23.96694215,66.52892562,9.090909091,2.05369,5856.28795,243500,31370.23776,2301.223651,0.999154334,72.6947701,4.573043984,9.661594745,8.672154319
E05000192,Walpole,Ealing,Outer,0.096795195,8.786316447,2.744253306,1.428790429,0,12.95936018,15.58653854,15.77497172,14.2604415,-0.552337536,-0.128320326,-0.671511189,37848.24608,82.57964375,103.1133542,13426,18.81918819,69.74169742,11.43911439,1.46596,9158.503643,612500,64595.97716,3167.889983,0.846364133,72.35215254,4.99776553,13.48875317,5.46700432
E05000570,Wallington South,Sutton,Outer,0.116783392,6.202088919,0,2.026823307,0,8.228912226,18.2272686,16.54628862,17.14139976,-1.020106329,-1.011169328,-0.897566369,43497.40335,59.95706711,105.0124159,10510,18.39622642,64.1509434,17.45283019,1.71798,6117.649798,246000,40018.10988,2807.366791,1.075362319,76.38439581,4.186489058,10.20932445,5.356803045
